"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","plot_number","partner_id","partner_location_id","date_planting","date_harvest","date_vinekill","breeder_merit_score","field_merit","field_comments","yield_total","specific_gravity","vine_maturity","tuber_flesh_color","tuber_shape","tuber_appearance","tuber_defects","tuber_flesh_oxidation","tuber_heat_sprouts","yield_no1","yield_total_cwt","yield_no1_percent","size_b","size_a","oversize","pickouts","hollow_heart","vascular_discoloration","heat_necrosis","brown_center","black_spot_bruise","black_spot_bruise_per_tuber","plant_vigor","disease_reaction","date_processed_otf","sfa_chip_color_otf","stem_end_browning_otf","date_processed_3mo","sfa_chip_color_3mo","stem_end_browning_3mo","date_processed_6mo","sfa_chip_color_6mo","stem_end_browning_6mo","process_comments","fry_color","total_glycoalkaloids","after_cooking_darkening","color_scale","color_instrument"
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","4","1","","","","","2021-02-02","2021-06-02","","2","2","LARGE","17.6","1.092","","","2","7","","","","","431","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","1","1","","","","","2021-02-02","2021-06-02","","2","2","nice, small size","14.9","1.091","","","2","8","","","","","365","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","slight vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","2","1","","","","","2021-02-02","2021-06-02","","2","2","","13.2","1.091","","","2","8","","","","","322","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","3","1","","","","","2021-02-02","2021-06-02","","2","2","smooth, round, small","14.4","1.095","","","2","8","","","","","353","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","4","1","","","","","2021-02-02","2021-06-02","","2","2","smooth, round, small","14.7","1.088","","","2","8","","","","","360","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Snowden","","2","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","AC13126-1Wadg","","3","1","1","","","","","2021-02-02","2021-06-02","","1","1","nice size","15.7","1.084","","","2","8","","","","","385","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","AC13126-1Wadg","","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS1-4","","4","1","1","","","","","2021-02-02","2021-06-02","","2","3","few pear shape","14.4","1.089","","","3","6","","","","","351","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS1-4","","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS17-5","","5","1","1","","","","","2021-02-02","2021-06-02","","4","3","too small","8.9","1.087","","","2","7","","","","","217","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS17-5","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS18-4","","6","1","1","","","","","2021-02-02","2021-06-02","","4","3","too small","7.9","1.093","","","2","7","","","","","193","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS18-4","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS2-2","","7","1","1","","","","","2021-02-02","2021-06-02","","2","2","nice size","16.4","1.082","","","2","7","","","","","401","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS2-2","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","2","","","","","","","","vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS27-3","","8","1","1","","","","","2021-02-02","2021-06-02","","3","3","few pear shape","6.5","1.09","","","3","6","","","","","158","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS27-3","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS28-8","","9","1","1","","","","","2021-02-02","2021-06-02","","4","4","misshapen","2.6","1.088","","","2","5","","","","","64","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS28-8","","9","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","2","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS37-2","","10","1","1","","","","","2021-02-02","2021-06-02","","1","2","nice size","9.3","1.097","","","2","8","","","","","226","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS37-2","","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS4-3","","11","1","1","","","","","2021-02-02","2021-06-02","","4","2","few mishapen","8.9","1.079","","","2","6","","","","","218","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS4-3","","11","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS5-3","","12","1","1","","","","","2021-02-02","2021-06-02","","4","2","too small","8.9","1.097","","","2","7","","","","","218","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS5-3","","12","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS7-2","","13","1","1","","","","","2021-02-02","2021-06-02","","3","3","few pear shape","10.6","1.097","","","3","5","","","","","258","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS7-2","","13","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS8-2","","14","1","1","","","","","2021-02-02","2021-06-02","","3","2","too small","12.2","1.097","","","2","7","","","","","299","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS8-2","","14","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS9-8","","15","1","1","","","","","2021-02-02","2021-06-02","","1","2","deep stolen end","20.2","1.099","","","2","6","","","","","494","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NYS9-8","","15","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA241-1","","16","1","1","","","","","2021-02-02","2021-06-02","","1","1","nice size","15.9","1.091","","","2","8","","","","","389","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA241-1","","16","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA252-7","","17","1","1","","","","","2021-02-02","2021-06-02","","2","1","nice size","15.1","1.09","","","2","8","","","","","368","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA252-7","","17","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","stem end, vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA254-4","","18","1","1","","","","","2021-02-02","2021-06-02","","1","1","nice size","16.6","1.088","","","2","8","","","","","407","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA254-4","","18","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA266-1","","19","1","1","","","","","2021-02-02","2021-06-02","","2","1","nice size","7.9","1.083","","","2","8","","","","","193","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA266-1","","19","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA311-1","","20","1","1","","","","","2021-02-02","2021-06-02","","3","3","few pear shape","13.2","1.087","","","3","6","","","","","322","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA311-1","","20","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA328-4","","21","1","1","","","","","2021-02-02","2021-06-02","","3","3","flattened tubers","12.6","1.085","","","2","6","","","","","307","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA328-4","","21","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA678-1","","22","1","1","","","","","2021-02-02","2021-06-02","","3","3","oval, pointed","14.5","1.093","","","3","6","","","","","356","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSAA678-1","","22","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB051-1","","23","1","1","","","","","2021-02-02","2021-06-02","","","4","growth cracks, small","","1.078","","","2","4","missing weight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB051-1","","23","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB060-1","","24","1","1","","","","","2021-02-02","2021-06-02","","3","1","nice size","12.5","1.084","","","2","8","","","","","306","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB060-1","","24","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB094-1","","25","1","1","","","","","2021-02-02","2021-06-02","","4","3","too small","7.4","1.087","","","3","6","","","","","181","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB094-1","","25","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB121-1","","26","1","1","","","","","2021-02-02","2021-06-02","","3","2","flattened tubers","11.2","1.085","","","2","6","","","","","275","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB121-1","","26","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB131-1","","27","1","1","","","","","2021-02-02","2021-06-02","","4","2","nice size","10.3","1.069","","","2","7","","","","","251","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB131-1","","27","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB179-1","","28","1","1","","","","","2021-02-02","2021-06-02","","4","4","bad plot","7.5","1.082","","","2","7","","","","","183","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB179-1","","28","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB210-A","","29","1","1","","","","","2021-02-02","2021-06-02","","3","2","nice size","13.6","1.084","","","2","7","","","","","332","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB210-A","","29","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","slight vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB614-11","","30","1","1","","","","","2021-02-02","2021-06-02","","3","3","too small","16.5","1.079","","","3","5","","","","","403","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB614-11","","30","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB615-1","","31","1","1","","","","","2021-02-02","2021-06-02","","","3","too small","8.9","1.082","","","3","5","","","","","217","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB615-1","","31","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB618-2","","32","1","1","","","","","2021-02-02","2021-06-02","","","2","pear shape","11.1","1.077","","","2","5","","","","","271","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB618-2","","32","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB636-11","","33","1","1","","","","","2021-02-02","2021-06-02","","4","2","too small","6.8","1.077","","","2","8","","","","","165","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB636-11","","33","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB637-6","","34","1","1","","","","","2021-02-02","2021-06-02","","4","3","flattened tubers","8.1","1.078","","","3","5","","","","","197","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSBB637-6","","34","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC012-1","","35","1","1","","","","","2021-02-02","2021-06-02","","4","4","few pear shape","7.6","1.084","","","3","5","1/10 tubers brown spot","","","","186","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC012-1","","35","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC084-1","","36","1","1","","","","","2021-02-02","2021-06-02","","4","3","few pear shape","12.3","1.087","","","3","5","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC084-1","","36","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC129-2","","37","1","1","","","","","2021-02-02","2021-06-02","","3","2","nice size","13.4","1.077","","","2","6","","","","","326","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC129-2","","37","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC129-4","","38","1","1","","","","","2021-02-02","2021-06-02","","2","2","flattened tubers","14","1.091","","","2","6","","","","","343","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC129-4","","38","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","slight vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC246-7","","39","1","1","","","","","2021-02-02","2021-06-02","","4","4","too small","4","1.088","","","2","7","","","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSCC246-7","","39","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD039-1","","40","1","1","","","","","2021-02-02","2021-06-02","","","4","pear shape","12.8","1.097","","","3","6","","","","","314","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD039-1","","40","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD089-2","","41","1","1","","","","","2021-02-02","2021-06-02","","4","3","too small","6","1.079","","","2","7","","","","","147","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD089-2","","41","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD114-10","","42","1","1","","","","","2021-02-02","2021-06-02","","3","1","nice size","10.6","1.075","","","2","8","","","","","258","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD114-10","","42","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD219-02","","43","1","1","","","","","2021-02-02","2021-06-02","","","4","pear shape","11.5","1.082","","","3","5","","","","","281","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSDD219-02","","43","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSZ025-2","","44","1","1","","","","","2021-02-02","2021-06-02","","","4","too small","12.4","1.09","","","3","5","","","","","304","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","MSZ025-2","","44","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC818-24","","45","1","1","","","","","2021-02-02","2021-06-02","","","4","pear shape","13.7","1.092","","","3","5","","","","","335","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC818-24","","45","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC818-26","","46","1","1","","","","","2021-02-02","2021-06-02","","4","4","pear shape","14.3","1.081","","","3","5","","","","","349","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC818-26","","46","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC821-30","","47","1","1","","","","","2021-02-02","2021-06-02","","4","4","pear shape","14.4","1.093","","","3","5","","","","","351","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC821-30","","47","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1","","","","","","","","nice","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC821-41","","48","1","1","","","","","2021-02-02","2021-06-02","","3","2","too small","20.5","1.088","","","2","8","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NC821-41","","48","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","slight vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NCB3401-1","","49","1","1","","","","","2021-02-02","2021-06-02","","4","3","too small","8","1.079","","","3","6","","","","","194","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","NCB3401-1","","49","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","slight vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","ND102631AB-1","","50","1","1","","","","","2021-02-02","2021-06-02","","","4","growth cracks, small","12.4","1.086","","","3","5","","","","","304","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","ND102631AB-1","","50","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","","","","","","","","","ND","","","","",""
"2021","NCPT","CA","2021 NCPT CA","ND12209C-2","","51","1","1","","","","","2021-02-02","2021-06-02","","4","2","too small","9.4","1.085","","","2","8","","","","","229","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","ND12209C-2","","51","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","slight vascular","","","","",""
