Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TX,2020,23.9,23.3,35.4,36.9,51.2,60.9,65.4,61.5,49.9,37.2,32.7,21.3
TX,2021,22.7,14.9,30.1,35.6,50.7,59.5,62.8,61.4,56.1,40.9,29.6,24.7
MI,2010,20,22.1,30.6,41.6,51.9,60,66,65.3,53.8,42.9,32.5,22.8
MI,2011,15.6,18.3,25.6,37.6,50.5,59.4,67.1,62.3,52.1,41.9,35.5,29.3
MI,2012,22.3,25.3,40.8,37.5,51.8,58.3,67.4,59.7,51.7,42.1,31.5,28.5
MI,2013,20.9,17.3,24.3,35.7,51.4,58.5,62.7,59.5,52.9,43.6,30.7,20.8
MI,2014,10.7,10.3,17.3,36.2,48.6,60.7,58.5,61.1,51.5,41.5,27.7,26.5
MI,2015,14.5,4.7,22.6,36,50.5,56.8,60.2,60.6,56.9,43.1,36,33.1
MI,2016,20.2,22.5,31.4,36,49.3,58.4,63.6,63.7,56.9,45.6,37.2,23
MI,2017,23.9,26.3,27.1,41.7,47.1,58.5,62.2,58.3,53.8,45.9,31.4,17.8
MI,2018,17.7,22.5,25.4,30.8,54.2,60.7,63.7,63.6,56.6,41.8,30.1,27.1
MI,2019,15.5,18.4,23.6,38,47.5,56.9,65.4,60,57.8,42.2,28.7,26.7
MI,2020,26.4,21.2,29.7,34.3,46.8,57.3,65.5,60.9,51.5,38.1,35.5,26.9
MI,2021,23,13,30,37.9,45.6,60.4,63,64.2,54.8,49.4,30.8,27.8
ND,2010,-0.2,-0.7,25.7,36.3,45.5,54.9,59.5,58.7,45.6,35.2,17.4,1.1
ND,2011,-8.7,-0.2,11.2,31.4,42.2,54.2,60.6,57.6,45.6,37.7,20.6,12.6
ND,2012,6.6,8.8,26.7,33.4,44.2,53.2,62.2,53.2,41.3,33.6,19.7,5.2
ND,2013,-1.3,1.9,3.5,24.6,42.5,54.9,57,54.4,49.7,33.1,14,-8.7
ND,2014,-11.7,-10.1,7.7,27.3,43.5,55.7,55.9,57.2,47.1,34.7,12,10.6
ND,2015,2.8,-6.6,18.9,29.8,40.4,53,59.3,54.1,49.3,36,24.3,12.4
ND,2016,2.8,14.1,26.4,30.5,44.5,54.1,58.5,56.2,49.1,37.4,31.7,5
ND,2017,4.5,11.5,18.7,32.9,43.2,54.3,58.6,53,48.2,34.3,15.3,2.3
ND,2018,1.7,-4.6,16.5,22.3,44.2,55.6,57.3,53.8,43.4,28.8,12.4,6.7
ND,2019,-7.6,-12,7.8,31.6,38.3,52.6,57.4,54.9,49.8,33.1,18.2,-1.1
ND,2020,0.2,-1.9,13.8,24.5,39.5,55.2,61.7,56.1,44,27.5,18.6,10.9
ND,2021,9.3,-3.6,20.2,27,37.8,53.8,59.3,56.7,49.9,38.6,21.7,0.2
NY,2010,15.3,18,27.2,36.2,47.4,55.8,60.2,59,50.6,39.6,30.4,18.5
NY,2011,12.6,11.5,22.4,36.9,49,55.3,59.4,56.9,54,40.9,35.1,25.7
NY,2012,19.1,24.6,34.1,32.6,49.8,54.1,60.4,56.8,49.3,42.3,28.9,27.9
NY,2013,19.1,16.8,23.2,34.4,45.8,54.7,61.7,54.7,46,41.4,27.7,20
NY,2014,8.4,8.9,15.1,32.1,45.3,54.6,57.2,53.4,48.6,42.4,28,26.7
NY,2015,7,0,14.9,31.9,49.2,53.6,56.5,56.2,53.6,38.8,33.5,32.9
NY,2016,16.8,18.6,27.3,29.3,43.7,50.7,58,61,49.9,41.8,31.3,22.1
NY,2017,22.4,23.7,18.3,38.8,44.6,52.9,58.5,53.5,49,43.3,29.1,18.5
NY,2018,9.9,21.2,21,28.7,47.7,51.8,58.6,61.3,54.7,40.8,27.6,24.4
NY,2019,12.1,17.4,18.6,33.5,44.8,52.1,60.4,54.3,47.4,40,26.6,21.4
NY,2020,21.5,18.4,27.9,31.2,42.4,52.5,61.3,57.6,46.7,40.5,33.1,24.2
NY,2021,20.5,13.1,24.1,34.5,42.5,56.1,57.7,60.6,51.6,47.1,28.5,27.3
WI,2010,6,10.1,25.5,38,47.7,57.4,62.5,61.7,47.7,36.9,28,7.9
WI,2011,4.1,10.1,17.1,32.9,45.4,54.5,63.5,58,47.4,40.7,30.5,19.8
WI,2012,13.3,20.4,37.4,34.8,49.6,56.3,64.2,56.7,45.7,36.5,27.1,17.8
WI,2013,9.4,7.3,14,29.7,44.5,53.7,59.2,55.9,49.6,36.6,23.8,4.7
WI,2014,-2.2,NA,NA,30.8,43.9,58,54,57.3,48.6,35.9,17.9,18.8
WI,2015,10.1,-2.1,21.8,34.2,47.6,54.1,57.3,57.7,54.6,38.7,31,27.5
WI,2016,8.5,13.3,28.7,33.5,43.4,54.5,59.6,60.2,54.2,42.5,32.3,14.4
WI,2017,13.7,17.8,21.6,36.1,43.8,54.8,58.2,55.2,51.7,39.5,24,11.1
WI,2018,8,8.3,21.5,23.4,51.8,57.5,59.4,59.5,52.6,36.3,21.7,19.9
WI,2019,6.2,6.4,16.5,33.6,42.8,54.2,61.3,55.4,53.6,37,22.5,16.9
WI,2020,15,8,26.6,30.3,43.3,55.7,62.2,57.8,49.4,33.6,30.4,17.7
WI,2021,12.9,-0.7,27.6,35,44.5,58.5,58.6,58.3,48.3,44.8,24.5,17.6
CA,2010,41.7,44.2,43.6,46.7,52.7,63.8,70.2,66.8,63.7,58,43.1,44.1
CA,2011,39.2,37.1,44.9,48.1,52.7,62.2,69.8,68.1,66.3,54.6,43.1,32.3
CA,2012,38.3,42.4,44.6,51,57.3,63.3,68.9,73.2,67,55.8,46.4,41.1
CA,2013,34.7,38.8,47.8,53.2,59.6,66.7,73.8,69.3,64.5,52.3,46.5,35.2
CA,2014,41,45.9,49.6,53.8,60.5,67.4,74.6,71.7,68.5,58.6,48.9,45.2
CA,2015,41.6,46.3,50.4,51.7,57.6,69.1,72.2,70.6,67.3,61,41.9,37.4
CA,2016,42.5,43.1,48.5,54.6,60.5,68.6,71.8,71.4,64.6,56.1,47.3,41
CA,2017,42.3,47.1,47.4,51.1,59.8,69.1,75.5,75.3,66.9,53.8,49.1,36.7
CA,2018,44.3,40.9,47.8,53.8,59.8,66.8,77,70.9,65.5,56.9,46.7,43.4
CA,2019,43.5,40.2,46.2,55.1,56.7,68.1,71.5,72,64.8,51.3,46,43.9
CA,2020,39.5,41.2,46.7,54.1,59.4,65.3,71.1,74.3,67.8,59.1,44,38.5
CA,2021,40.5,42.3,45.4,52.8,60.8,70.4,77.2,72.4,67.4,54,47.2,40.9
OR,2010,31.4,29.5,29.9,38.5,43.4,52.3,55.4,55.5,49.9,39.5,30.4,27.9
OR,2011,27,25.5,32.4,35.5,42.6,51.4,54.2,56.3,47.6,39.4,27.2,22.6
OR,2012,22.7,28.6,33.1,39.2,45,51,57.7,53.8,44.1,35.5,35.4,30.3
OR,2013,25.4,25.6,33.2,38.2,45.8,54,58.2,55.7,51.6,32,28.1,17.3
OR,2014,24.9,28.9,31.2,36.1,45,52.1,58.5,58,45.3,41.8,28.1,28.1
OR,2015,28.7,31.1,32.8,34.5,47,54.4,58,53.9,43.3,38.1,29.5,30.2
OR,2016,28.2,29.6,33.9,41.7,46.8,52.6,58.1,54,45.8,39.8,34.8,18.3
OR,2017,14.4,23.8,35.5,38.4,45.1,52.9,57,54.7,47.1,33.5,31.2,23.8
OR,2018,29.5,26.3,28.2,36.9,48.5,45.3,47.2,52,44.1,35.4,28.8,28.2
OR,2019,29.2,20,23.8,41.8,45.8,52.3,54.5,54.7,49.4,31.8,25.1,27.6
OR,2020,28.4,26.9,30.1,36.9,46.5,53.9,54.3,54.3,46.6,37.7,28.9,28.2
OR,2021,29,27.6,29.7,34.8,45.9,57,61.8,57.3,45.5,37.7,32.6,25.9
CO,2022,5.2,3.3,16.9,23.6,35.5,45.3,50.5,48.4,42.5,29.2,12.1,8.5
ID,2022,5.6,3.4,15.5,24.1,32,39.5,50,49.5,42,29,7.9,10.7
ME,2022,-4.4,4.1,17.3,30.8,42.2,49.6,56,55.9,46.4,38.1,26.5,19.6
MI,2022,12.7,17,27.3,35.1,51.7,58,62.4,61.9,54.6,39.5,32.8,25.1
NY,2022,6.5,13.5,22.8,34.4,45.8,51.7,57.1,57.5,51.2,36.3,33.3,21.9
NC,2022,30.5,35.3,42.8,49.3,60.5,65.8,72.1,69.7,61.3,49,44.7,32.6
ND,2022,-10.8,-10.8,12.6,24.2,43.9,53.5,59.2,56.7,46.9,33.3,17.5,1
OR,2022,24.6,23.8,35.4,35,45.1,50.2,57.5,58.1,46.2,39.6,26.9,21.2
TX,2022,17.2,15.2,26.7,37.9,49.4,61.4,66.2,62.2,55.6,43,26.2,20.7
WI,2022,0.1,5.6,21.9,30.7,48.2,54.5,58.7,57.6,50.6,36.9,26.8,14.5
CA,2022,39,38.9,48,51.6,58.4,68,73.2,73.8,70.1,59.3,41.5,40.3
FL,2022,43.5,47.4,53.5,57.9,65.5,70.1,72.9,73.1,71.3,58.4,59.9,47.9
MO,2010,20.5,24.6,37.6,50.1,59.8,70.1,71.6,67.7,57.5,41.7,35.8,24.7
MO,2011,22,28.9,39.5,49.5,56.6,67.9,72.4,66.8,54.4,43.8,42,31.5
MO,2012,29.1,32.3,48.1,47.3,58.6,60.4,71.5,62.1,56.9,44.4,32.7,33.9
MO,2013,27.8,29.5,32.1,44,56.1,65.3,65.2,65.3,60.1,46.5,33.4,24.7
MO,2014,18.1,21.5,29.8,46,58.5,68.2,62.8,66.9,55.6,47.6,29.9,33.7
MO,2015,24.5,16.8,34.1,49.4,58.1,67.8,71.9,63.6,58.2,45.8,40.7,37.8
MO,2016,25.1,30.2,42.2,47,53.9,67.3,71.1,70.2,61,51,37.4,27.4
MO,2017,31.3,35.9,39.2,50.2,56,64,68.5,62.8,56.9,47.6,36.3,25.8
MO,2018,20.8,31.7,36.8,39.6,63.4,68,70.2,67.4,63.6,48.8,32.3,33
MO,2019,28.5,32.1,34.3,47.9,59.9,65.4,70.4,67.6,63.7,46.4,31.7,32.4
MO,2020,32.2,31.2,43.2,44.4,55.3,65,70.9,64.9,57.5,43.8,38.2,28.6
MO,2021,29.5,20.3,40.7,44.4,54.3,67.2,68.7,68,58.8,52.8,32.6,38.1
MO,2022,21.3,26.1,38.3,46.1,59.1,64.4,70.5,65.2,55.1,41.3,33.9,29.2
