state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
NewYork,2005,11.7,16,19.1,33.7,39.1,58.8,61.7,59.7,49.7,41.9,33.8,18.5
NewYork,2006,23.7,20.4,22.7,33.4,43.5,55.2,61.7,57,49.9,37.7,35.2,28.3
NewYork,2007,20.7,7.9,19,32.2,41.8,53.4,55.9,57.3,50.8,46.3,29.4,21.4
NewYork,2008,20.6,16.6,20.6,36.9,39.5,56.9,58.2,53.8,49.5,34.8,29.8,20.5
NewYork,2009,4.9,17.1,23.4,34.7,42.8,51,54.4,57.7,47.3,38.2,32.1,20.6
NewYork,2010,15.3,18,27.2,36.2,47.4,55.8,60.2,59,50.6,39.6,30.4,18.5
NewYork,2011,12.6,11.5,22.4,36.9,49,55.3,59.4,56.9,54,40.9,35.1,25.7
NewYork,2012,19.1,24.6,34.1,32.6,49.8,54.1,60.4,56.8,49.3,42.3,28.9,27.9
NewYork,2013,19.1,16.8,23.2,34.4,45.8,54.7,61.7,54.7,46,41.4,27.7,20
NewYork,2014,8.4,8.9,15.1,32.1,45.3,54.6,57.2,53.4,48.6,42.4,28,26.7
NewYork,2015,7,0,14.9,31.9,49.2,53.6,56.5,56.2,53.6,38.8,33.5,32.9
NewYork,2016,16.8,18.6,27.3,29.3,43.7,50.7,58,61,49.9,41.8,31.3,22.1
NewYork,2017,22.4,23.7,18.3,38.8,44.6,52.9,58.5,53.5,49,43.3,29.1,18.5
NewYork,2018,9.9,21.2,21,28.7,47.7,51.8,58.6,61.3,54.7,40.8,27.6,24.4
NewYork,2019,12.1,17.4,18.6,33.5,44.8,52.1,60.4,54.3,47.4,40,26.6,21.4
NewYork,2020,21.5,18.4,27.9,31.2,42.4,52.5,61.3,57.6,46.7,40.5,33.1,24.2
Wisconsin,2005,7.2,17.3,17.6,38,44.9,61.2,60.4,59.5,53.9,40,27.1,12.1
Wisconsin,2006,23.2,11.4,24.9,38.4,48.1,55.4,62.6,59,48.3,35,30.8,23.2
Wisconsin,2007,13.6,4.6,25.9,35.2,49.8,57.4,59,60.5,51.4,45.1,26.1,10.7
Wisconsin,2008,9,5.4,16.4,35.9,42.1,54.6,58.8,56.5,52.6,38.6,26.2,2.9
Wisconsin,2009,-3.1,11.6,20.9,32.5,46,54.7,52.4,56.2,49.7,35.5,31.9,13.1
Wisconsin,2010,6,10.1,25.5,38,47.7,57.4,62.5,61.7,47.7,36.9,28,7.9
Wisconsin,2011,4.1,10.1,17.1,32.9,45.4,54.5,63.5,58,47.4,40.7,30.5,19.8
Wisconsin,2012,13.3,20.4,37.4,34.8,49.6,56.3,64.2,56.7,45.7,36.5,27.1,17.8
Wisconsin,2013,9.4,7.3,14,29.7,44.5,53.7,59.2,55.9,49.6,36.6,23.8,4.7
Wisconsin,2014,-2.2,NA,NA,30.8,43.9,58,54,57.3,48.6,35.9,17.9,18.8
Wisconsin,2015,10.1,-2.1,21.8,34.2,47.6,54.1,57.3,57.7,54.6,38.7,31,27.5
Wisconsin,2016,8.5,13.3,28.7,33.5,43.4,54.5,59.6,60.2,54.2,42.5,32.3,14.4
Wisconsin,2017,13.7,17.8,21.6,36.1,43.8,54.8,58.2,55.2,51.7,39.5,24,11.1
Wisconsin,2018,8,8.3,21.5,23.4,51.8,57.5,59.4,59.5,52.6,36.3,21.7,19.9
Wisconsin,2019,6.2,6.4,16.5,33.6,42.8,54.2,61.3,55.4,53.6,37,22.5,16.9
Wisconsin,2020,15,8,26.6,30.3,43.3,55.7,62.2,57.8,49.4,33.6,30.4,17.7
Oregon,2005,26.8,19.9,33.4,39.8,49.3,51.8,56.8,54.3,44.2,39,32.1,23.3
Oregon,2006,31.6,22.9,32.6,37.9,45.6,53.7,59.2,53,44.7,34.9,32.3,25.9
Oregon,2007,22.9,29.1,33,38.4,45.2,52.8,60.5,53.8,45.3,36.7,28.3,27.9
Oregon,2008,22.2,30,29.7,33.7,46.8,50.4,56.2,54.7,42.8,34,32.9,19
Oregon,2009,27.6,26.8,29.9,36.1,44.1,54.5,56.4,56.6,45.8,36.4,27.8,18.6
Oregon,2010,31.4,29.5,29.9,38.5,43.4,52.3,55.4,55.5,49.9,39.5,30.4,27.9
Oregon,2011,27,25.5,32.4,35.5,42.6,51.4,54.2,56.3,47.6,39.4,27.2,22.6
Oregon,2012,22.7,28.6,33.1,39.2,45,51,57.7,53.8,44.1,35.5,35.4,30.3
Oregon,2013,25.4,25.6,33.2,38.2,45.8,54,58.2,55.7,51.6,32,28.1,17.3
Oregon,2014,24.9,28.9,31.2,36.1,45,52.1,58.5,58,45.3,41.8,28.1,28.1
Oregon,2015,28.7,31.1,32.8,34.5,47,54.4,58,53.9,43.3,38.1,29.5,30.2
Oregon,2016,28.2,29.6,33.9,41.7,46.8,52.6,58.1,54,45.8,39.8,34.8,18.3
Oregon,2017,14.4,23.8,35.5,38.4,45.1,52.9,57,54.7,47.1,33.5,31.2,23.8
Oregon,2018,29.5,26.3,28.2,36.9,48.5,45.3,47.2,52,44.1,35.4,28.8,28.2
Oregon,2019,29.2,20,23.8,41.8,45.8,52.3,54.5,54.7,49.4,31.8,25.1,27.6
Oregon,2020,28.4,26.9,30.1,36.9,46.5,53.9,54.3,54.3,46.6,37.7,28.9,28.2
Maine,2005,-2.7,7.4,15.3,31.1,39.3,52.3,54.9,54.3,46,39.5,26,11.4
Maine,2006,10.2,6.6,20.3,31,44.4,53.8,58.2,49.4,43.9,35.2,30.6,16.2
Maine,2007,2.7,-0.3,13.5,27,38.9,49,54.4,51.1,43.8,38.2,22.1,4.5
Maine,2008,3.8,2.2,7.5,30.6,39,51.8,57.4,53.7,44.6,34.4,27.4,6.2
Maine,2009,-8.9,7.6,12.1,30.9,39,50.7,55.2,54.6,42.2,31.5,28.4,14
Maine,2010,12.2,18.5,21.9,34.3,43,50.9,59.2,54.2,49.6,35.5,25.5,18.8
Maine,2011,6.6,3.5,15,28.3,43.1,51.2,56,55.8,48.1,39.4,29.3,14.4
Maine,2012,4.3,7.1,21,31.7,43.9,51.6,56.5,57.2,45.5,38.2,23.8,13.4
Maine,2013,1.4,9.5,22.7,28.7,42.7,49.3,56.5,52.5,46.8,36,24.3,5.7
Maine,2014,3.6,3.1,3.9,28.2,42.7,51.8,58,54.8,44.7,39.3,22.8,15.6
Maine,2015,-1.8,-7.1,8.1,26.7,44,48.7,54.2,58.3,50.1,32.4,28.7,23.2
Maine,2016,9.5,7.9,15.1,24.6,42.9,50.5,56.2,55.8,48.3,36.7,30.9,8.3
Maine,2017,9.6,6,10.8,33.5,43.2,51.3,55.1,52.5,49.8,40.6,22,5.5
Maine,2018,2.8,8.5,21.4,26.7,39.3,47.3,59.4,57.8,45.9,32.3,21.4,7.5
Maine,2019,0.2,1.2,12.1,30.2,38.5,49.4,56.8,54.2,44.4,37.3,21.2,12.7
Maine,2020,8,5,15.6,27.3,39.6,52,59.9,54.3,44.3,35.1,28.4,19
Colorado,2021,2.8,10.1,15.8,24.6,34.2,44.1,49.6,46.4,40.5,25.8,16.8,10.5
Colorado,2022,5.2,3.3,16.9,23.6,35.5,45.3,50.5,48.4,42.5,29.2,12.1,8.5
Idaho,2021,10.2,10.7,14.8,23.8,33.5,45.8,50.8,46.5,38.2,32.6,25.7,19.5
Idaho,2022,5.6,3.4,15.5,24.1,32,39.5,50,49.5,42,29,7.9,10.7
Maine,2021,13.6,6.4,15.8,32.5,40.3,53.2,53.6,59,48.9,40.9,26.7,13.2
Maine,2022,-4.4,4.1,17.3,30.8,42.2,49.6,56,55.9,46.4,38.1,26.5,19.6
Michigan,2021,23,13,30,37.9,45.6,60.4,63,64.2,54.8,49.4,30.8,27.8
Michigan,2022,12.7,17,27.3,35.1,51.7,58,62.4,61.9,54.6,39.5,32.8,25.1
NewYork,2021,20.5,13.1,24.1,34.5,42.5,56.1,57.7,60.6,51.6,47.1,28.5,27.3
NewYork,2022,6.5,13.5,22.8,34.4,45.8,51.7,57.1,57.5,51.2,36.3,33.3,21.9
NorthCarolina,2021,33.5,34.6,44.5,48.8,55.3,67.1,70.4,71.8,62.7,55.1,37,40.3
NorthCarolina,2022,30.5,35.3,42.8,49.3,60.5,65.8,72.1,69.7,61.3,49,44.7,32.6
NorthDakota,2021,9.3,-3.6,20.2,27,37.8,53.8,59.3,56.7,49.9,38.6,21.7,0.2
NorthDakota,2022,-10.8,-10.8,12.6,24.2,43.9,53.5,59.2,56.7,46.9,33.3,17.5,1
Oregon,2021,29,27.6,29.7,34.8,45.9,57,61.8,57.3,45.5,37.7,32.6,25.9
Oregon,2022,24.6,23.8,35.4,35,45.1,50.2,57.5,58.1,46.2,39.6,26.9,21.2
Texas,2021,22.7,14.9,30.1,35.6,50.7,59.5,62.8,61.4,56.1,40.9,29.6,24.7
Texas,2022,17.2,15.2,26.7,37.9,49.4,61.4,66.2,62.2,55.6,43,26.2,20.7
Wisconsin,2021,12.9,-0.7,27.6,35,44.5,58.5,58.6,58.3,48.3,44.8,24.5,17.6
Wisconsin,2022,0.1,5.6,21.9,30.7,48.2,54.5,58.7,57.6,50.6,36.9,26.8,14.5
California,2021,40.5,42.3,45.4,52.8,60.8,70.4,77.2,72.4,67.4,54,47.2,40.9
California,2022,39,38.9,48,51.6,58.4,68,73.2,73.8,70.1,59.3,41.5,40.3
Florida,2021,45.9,49.8,54.8,55.6,61.9,70.9,72.9,73.9,70.2,63.8,50.1,52.5
Florida,2022,43.5,47.4,53.5,57.9,65.5,70.1,72.9,73.1,71.3,58.4,59.9,47.9
