state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Texas,2014,50.9,53.4,62.9,71.5,82,88.4,90.2,93.6,82.1,75,59.1,49.9
Texas,2015,49.1,54.5,65.3,72.9,74,90.6,93.7,91.2,89.9,73.7,62.1,52.9
Texas,2016,52.7,62.3,68,70.8,76.3,92.4,99.3,89.5,86.6,81.9,65.4,51.8
Texas,2017,52.4,64.9,70,70.2,78.6,93.1,95.7,84.4,83,73.9,68.4,53.9
Texas,2018,54.7,55.5,66.9,69.1,87.6,92.4,93.8,92.2,85.6,67.7,56.6,49.7
Texas,2019,52,55.4,59.1,72.5,74.2,86.7,96,96,90.7,66.3,59.1,55.1
Texas,2020,53.2,51.1,66.5,72.4,83.7,95.8,94.3,96.1,83,72.7,64.1,52.6
Colorado,2005,40.1,42,49.9,60.3,69.7,76.2,84.2,77.6,74.4,63,53.3,42.2
Colorado,2006,43.1,47.6,47,60.7,72.2,80.6,80,76.4,66.1,60.1,50.8,37.2
Colorado,2007,27,36.6,54.5,58.5,66.8,78,82.7,81.1,74.3,64.6,53.3,28.3
Colorado,2008,23.8,32.6,45,58.7,66.7,76.4,78.6,76.5,71.6,62.3,49.1,32.2
Colorado,2009,30.3,38.2,51.6,55.8,68.2,72.2,79.3,76.3,70.4,55.4,50.7,30.7
Colorado,2010,34.5,28.4,44,58.1,63.7,77.9,79.4,78.3,75.9,62.5,47.6,42.4
Colorado,2011,36.9,35.5,53.9,59.9,62.7,78.2,82.6,80.5,70.8,60.7,45.3,22
Colorado,2012,32.5,34,54.2,64.1,68.3,82.2,81,79.4,73.4,63.5,51.7,27.6
Colorado,2013,19.6,32.1,48.5,57.5,66.8,80.6,80.1,77.8,72,58.8,43.9,20.9
Colorado,2014,25.2,38.6,51.1,57.5,64.5,78.3,79.9,75.1,75.4,63.5,48.8,38.8
Colorado,2015,32.6,45,54.2,58.5,62.4,77.9,77.1,79.5,75.6,64.3,48.6,37.2
Colorado,2016,27.5,43.8,55,55,62.5,79.3,81.1,74.4,74.3,66.8,53.8,35.9
Colorado,2017,30.7,42.7,58.4,56.5,64.7,79.8,80.3,76.4,71.8,61.5,56.2,44.9
Colorado,2018,44.1,45.3,53.1,62.2,70.5,79.9,82,79.9,76.5,61.7,44.4,36.5
Colorado,2019,23.5,30.9,49,59.5,61.7,73.6,80.4,80.2,75.6,59,48.9,29.7
Colorado,2020,27.5,39.6,53.7,60.6,73.2,77.9,79.2,83.2,72,66.2,50.9,35.1
NorthDakota,2005,11.9,22.1,34,59.4,63.2,75.1,81.5,78,73.2,54.9,37.6,22.4
NorthDakota,2006,28.5,16.3,30.4,60.5,68.1,78.9,86.8,81.8,69.1,51.6,38.4,31.5
NorthDakota,2007,20.4,12.3,35.6,53.4,69.1,77.6,84,77.8,70.9,57.8,37.1,16.2
NorthDakota,2008,13.2,14.9,29.7,52.3,66.1,74.2,80.3,80.7,69,56,36.6,12.1
NorthDakota,2009,10,17.7,29.2,48.5,63.9,74.5,77.5,76.3,76.7,46.8,46.9,14.4
NorthDakota,2010,14.8,17.6,40,62.1,67,74.2,82.9,82.6,65.2,60.4,35.8,15.5
NorthDakota,2011,9.7,18.6,27.6,50.4,63.9,75.3,84.1,81.6,73,62.6,42.3,31.9
NorthDakota,2012,26.2,29.3,49.4,58.7,70.6,79.6,87.5,82,73.3,50.1,33.8,19
NorthDakota,2013,19,19.7,24.9,39.5,65.9,76.9,81.2,82.1,73.5,51.9,34.8,8.6
NorthDakota,2014,13.8,11,27.9,47.3,65.8,75,78.9,79.1,71.9,57.5,29.4,25.1
NorthDakota,2015,22.1,14.7,42.9,59,65.5,77,81.9,80.7,75.5,60.3,42.8,27.5
NorthDakota,2016,19,28.9,45.8,50.8,72,77,81,81.2,71.1,56.5,50,21.1
NorthDakota,2017,19.2,28.2,36.3,55.1,69.2,78.8,84.1,79.8,71.9,58.9,32.8,20.5
NorthDakota,2018,18.4,16.1,32.2,44,75.8,80.7,82.7,81.5,67.3,47.2,26.5,23.5
NorthDakota,2019,11.7,6.9,27.1,50.1,64.1,78.6,83.1,78,68.8,46.4,31.9,19.7
NorthDakota,2020,18.6,21.8,33,46.8,64.8,81.8,83.7,80.6,69.8,49.2,42.3,31.2
Idaho,2005,32.4,34.4,39.5,55.5,59,67.7,80.4,77.3,65.7,55.9,39.7,27.1
Idaho,2006,31.3,28,37.8,53,63.7,74.1,82.3,77,64.9,52.1,39.8,29.5
Idaho,2007,22.2,34.4,45.8,52.1,65,74.1,85.1,79.5,67.9,52.5,42.7,25.6
Idaho,2008,23.6,29.1,33.5,44.4,57.7,68.5,80.3,78.4,67.5,53.8,43.6,29.4
Idaho,2009,30.1,32.4,36.6,48,62,64.2,82.6,74.6,73.5,46.8,43.3,24.3
Idaho,2010,30.9,29.6,39,48.2,51.8,65.8,80,75.4,71.3,58.3,36.3,31.4
Idaho,2011,22.9,27.1,37.5,42.4,52.6,66.5,79.3,79,71.6,54.7,36.7,25.2
Idaho,2012,NA,30.6,44.3,55.3,60,71.9,80.5,80.4,70.5,52.9,43.2,28.5
Idaho,2013,23.3,29.2,37.5,46.1,60.6,72.4,80.9,80.8,66.8,50.1,42.5,22.2
Idaho,2014,28.6,31.9,39.7,48.7,62.7,67.3,80.6,71.5,68.7,59.8,39.1,33.5
Idaho,2015,30.8,39.4,49.9,50.6,57.8,75.6,73.5,77,71.8,59.6,36,27.6
Idaho,2016,29.1,33.7,42.6,55.8,60.5,75.2,79.2,78.6,65.9,55.1,48.3,25
Idaho,2017,23.3,34.7,47,50.4,63.2,70.9,81.5,77.3,64.8,51.5,42.2,30.7
Idaho,2018,34.2,29.4,38,50.7,65.8,73,84.4,80.2,74.5,56.3,41.2,34.9
Idaho,2019,35.7,35.3,43,53.3,61.7,71.4,82.7,82.3,69.5,49.5,47.1,37
Idaho,2020,30.4,28.4,46.2,52.9,65.7,71.3,81.6,84.1,74.1,58.6,44.9,36.9
Michigan,2005,28.5,34.4,38.6,62.5,65.2,82.9,83.5,82.1,78.2,62.2,48.9,29.5
Michigan,2006,38.5,33,45.4,62,68.4,78.8,85.1,81.3,69,56,48.6,40.9
Michigan,2007,33.3,25.2,49.1,54.5,74.7,81.9,83.8,82.9,77.7,67.3,46.8,34.6
Michigan,2008,32.6,29.6,40.5,62.2,67,78.8,82.1,82.3,74.5,59.7,45.6,32.7
Michigan,2009,24.9,35.6,47.7,57.6,69.4,77.4,76.9,78.4,74.2,55.6,52.2,32.8
Michigan,2010,30.1,32.2,51.8,65.7,71.2,78.4,85,84.5,71.6,64.2,51.1,31.9
Michigan,2011,27.1,33,41.9,55.6,69.6,78.7,87,81.3,71.7,63.1,51.9,40.6
Michigan,2012,37.1,38.4,60.6,59.1,74.5,83.3,91.1,82,74.2,59.5,48.6,41.7
Michigan,2013,35.2,32.3,38.8,53.5,73.6,78.3,82.8,80.6,74.6,62.6,44.9,31.4
Michigan,2014,25.5,25.1,35.9,59,70.1,79.6,78.4,80.8,72.6,60.2,41,37.3
Michigan,2015,27.8,22,42.1,59.4,71.3,76.6,81.4,78.7,77.5,61.1,55,45.2
Michigan,2016,31.8,36.5,49.7,56,71.6,82.3,84.9,83.4,76,63.7,53.5,32.1
Michigan,2017,34.1,43.1,43,62.1,68,80.4,82.9,79.2,79.2,64.5,45.7,30.9
Michigan,2018,32.1,37.1,43.3,49.3,75.5,79.1,85.1,83.4,75.6,58.9,39.1,37.8
Michigan,2019,28,32.7,40.8,57.3,66.5,76.7,85.4,81.5,74.9,58.1,40.4,39.8
Michigan,2020,36.2,33.8,47.5,54,66.5,81.8,85.9,83.1,71.4,57.6,53.2,38
NewYork,2005,28.4,34.1,36.6,58.7,62.4,81,82.9,83.2,76,58,52.8,31.5
NewYork,2006,40,35,39.6,57,67.1,74.3,81.4,77.7,68.3,56.3,50.3,44.2
NewYork,2007,35.7,24.9,40.9,50.1,69.4,79,77.8,79.5,74.9,66.1,46.1,35.1
NewYork,2008,35.2,33.1,38.5,62.2,63.2,78.7,80.3,75.9,72.2,58.2,44.5,36.4
NewYork,2009,25.4,35.1,43.8,58.5,68.2,72.8,75.9,79.1,70.6,55.2,51.7,33.4
NewYork,2010,29.8,29.9,47,62.3,71.1,76.6,82.9,79,71.5,58.5,47.2,30.4
NewYork,2011,27.8,33,39.8,54.7,67.9,76.9,84.4,78.2,72,59.5,54.7,40.7
NewYork,2012,36.2,39.3,56.4,54,73.5,76.5,84.2,80.9,71.8,60.5,44.7,39.9
NewYork,2013,34.3,30.8,37.9,54.4,69.3,74,80.9,76.6,69.3,61.7,43.6,35.5
NewYork,2014,26.9,27.9,33.8,54.7,67.5,75.6,78.3,75.5,71,60.4,42.6,36.6
NewYork,2015,26.3,20.3,34.5,53.7,73.9,73.7,78,77.9,76.9,57.7,52.6,48
NewYork,2016,31.7,36.3,49.5,52,66.9,77.2,83.5,82.6,75.9,60.2,50.4,35.2
NewYork,2017,35.3,41.4,37.7,60,63.8,75.7,78.8,77.4,73.3,66.1,45.5,32.1
NewYork,2018,29.3,39.1,36.3,47.9,72.8,74.7,82.4,79.6,73.5,56,40.7,36.6
NewYork,2019,29.9,34.4,39.7,56.1,64.9,74.3,81.7,77.7,72.1,60,41.6,36.1
NewYork,2020,36.6,34.6,47.2,50,65.6,77.2,84.1,81.4,71.6,58.9,52.6,36.8
Wisconsin,2005,23.2,33.7,39.2,61.8,64.8,81.6,84,79.8,75.9,61.4,43.2,25.6
Wisconsin,2006,35.7,28.5,42.3,62.4,67.6,77.7,85.4,80.1,67.9,54.5,46.4,35.6
Wisconsin,2007,31.4,22.5,47.1,55.3,73.5,80.6,83,79.7,73.8,63.2,43,26.3
Wisconsin,2008,24.8,24.5,36.9,54.3,65.5,76.3,81.4,79.7,72.4,57.7,42.9,25.1
Wisconsin,2009,17.5,32.3,41.5,53.6,68.2,75.4,75.3,77.1,75.1,50.5,50,26.9
Wisconsin,2010,23.3,29.3,49.2,63.3,70.9,76.2,82.1,82.2,68,63,44.4,23.5
Wisconsin,2011,20,28.1,35.7,50.1,65.6,75.6,85.2,81.3,69,61.8,46.3,34.8
Wisconsin,2012,31.7,36.4,57.9,56.8,73.9,80.9,90.3,82.1,72.5,55.6,44.5,32.7
Wisconsin,2013,27.8,26.7,33.1,46.6,70.6,75.1,81.9,81.3,74.9,57.2,40.1,23.6
Wisconsin,2014,19.2,NA,NA,52.2,68.1,79.7,77.5,79.8,71.3,56.5,33.4,31.3
Wisconsin,2015,24.9,19.9,43.5,58.2,70.6,75.5,80.9,77.9,77.1,60.4,50.4,38.7
Wisconsin,2016,23,31.8,46.4,53.8,69.3,76.8,81.8,80.7,73,60.8,52.1,26.7
Wisconsin,2017,26.6,37.9,39.3,58.9,64.6,78.3,80.5,75.9,75,59.3,41.4,26.9
Wisconsin,2018,26.3,27.9,41,44.9,75.2,77.6,83.2,80.3,72.3,53.4,34.8,32
Wisconsin,2019,22.1,24.9,37.7,53.2,62,75.3,82.3,76.8,70.6,54.7,34.8,32.7
Wisconsin,2020,30,29.8,43,52,66,78.6,83.9,81.8,68.4,52,49.6,32.9
Oregon,2005,39.7,51.7,63,65.9,75.1,78.7,90.7,90.4,77.7,66.8,48.5,35.4
Oregon,2006,49.6,47.9,57.1,65.5,74.6,81,92.9,88.2,79.3,65.8,50.8,37.9
Oregon,2007,39.3,46.5,60.4,65,75.2,80.7,92.1,87.1,79.7,63.5,50.8,44
Oregon,2008,41.1,51.7,56.5,62.3,74.4,79.2,89.8,87,78.7,65.5,52.5,36.1
Oregon,2009,41.5,44.8,53.3,65.3,74.9,82.7,91.7,88.7,82.5,61.1,52.5,34.2
Oregon,2010,45,51.6,60.8,65,69.4,77.6,87.8,87.4,77.1,65.3,48.3,40.2
Oregon,2011,43.3,47.1,56.7,60.8,69.8,77.3,85.4,90.5,83,64.7,52.2,40.2
Oregon,2012,44.4,48.1,58,66.4,73,76.7,88.7,90.5,81.9,65.4,51.7,47
Oregon,2013,37.2,52,58.9,66.1,75.4,80.7,94.3,90,81.4,64.1,50.2,38
Oregon,2014,45.5,50.2,64.7,69.5,82.5,87.7,101.1,98.1,88.8,76.8,54.4,51.1
Oregon,2015,48.5,59.5,70.2,71.8,81.4,94.8,93.1,90.5,78.7,71.6,49.9,44.7
Oregon,2016,41.1,53.8,59.2,72.5,75.5,83.3,87.7,90.3,77.5,63.4,56.9,37.1
Oregon,2017,29.2,39.3,55.6,63.6,75.7,82.2,93,92.6,79.7,63.9,51.2,36.9
Oregon,2018,45.4,48.6,56,63.6,78.4,78.7,86.2,87.6,79.3,64.3,49.4,44.2
Oregon,2019,42.7,33.3,48.3,66.1,76.2,84.1,87.4,89.9,78.6,62,50.7,41.1
Oregon,2020,46.8,54.3,57.4,69.6,75.6,81.8,90.4,90.9,82,68.8,51.9,42.4
Maine,2005,16.2,26.3,32.7,48,57,74,77.7,75.5,66.8,53.6,39.4,25.3
Maine,2006,26.8,23.2,36.2,52.3,64.5,74.2,78.4,71.3,65.8,51.4,42.8,31
Maine,2007,21.8,18.9,32.9,45,61.7,72.9,75.9,73,67.1,57.1,36.2,22.6
Maine,2008,22.6,23.7,29,49.1,60.8,69.5,77.8,72.7,65.9,52.3,39.5,25.7
Maine,2009,13.9,26.7,33.9,50,61.5,69.2,72.1,75.8,66.7,46.7,45.3,26.6
Maine,2010,26.3,28.8,41.9,55.5,66.6,70.9,79.5,78,66,52.5,40.6,31.5
Maine,2011,21.3,22.8,34.3,46.8,61.2,70.4,78.3,74.4,69.1,54.6,46.4,30.6
Maine,2012,22.4,27,42,51.3,63.3,71.6,78.5,78.9,68.1,56.2,38.8,29.3
Maine,2013,22,25.7,36.8,48.6,64.8,69.9,78.8,73.4,66.5,55.8,38.5,20
Maine,2014,20.7,22.4,26.3,46.2,61.8,74.1,78.2,77,67,55.3,36.4,29
Maine,2015,18.7,12.8,31,46.4,67.4,67.1,74.7,78.1,72.7,51.1,42.1,33.8
Maine,2016,26,28.9,33.2,46.8,64.9,72.4,77.4,77.4,68.9,56.3,42.8,24.9
Maine,2017,26.4,26.9,29.4,48.9,62.3,72.5,76.9,75.3,72.3,62.2,39.5,21.2
Maine,2018,21.4,30.1,36,44.9,66.5,70.4,82.4,80,69.3,47.6,34.2,25.3
Maine,2019,20.9,22.1,34,45.1,59,71.4,80.6,76,64.8,55,34.9,28.8
Maine,2020,25.1,27.7,36.2,45.8,63,76.8,79.9,78.4,69.9,52.4,44.6,33.1
Colorado,2021,32.3,37.1,48,58.8,67.7,79.7,81.7,80.5,78.3,60.5,54.2,42.6
Colorado,2022,37.7,37.4,49.8,60.7,70.8,77.8,80.1,77,76.2,58.7,43.3,38.3
Idaho,2021,27.3,28.1,38.2,47.3,62.1,77.5,82.5,74.6,70.7,54.3,41.8,30.9
Idaho,2022,23.8,24.7,38.6,46.2,56.1,68,82.3,80.1,75.3,55.1,28.4,27.3
Maine,2021,25.7,26.3,37.9,53.9,64.9,76.7,74.9,80,68,58.8,41.5,29.5
Maine,2022,17.8,24.9,33.7,46.8,66.5,70.1,79.4,76.6,67.3,61.5,42,32.9
Michigan,2021,33.2,28.6,52.5,59,69.5,81.3,81.6,84.3,76.3,64.5,46.2,41.2
Michigan,2022,27.6,32.2,45.2,52.1,71.2,80.4,83.3,81,72.8,61.8,49,35.2
NewYork,2021,30.9,30.8,47,55.1,66.2,78.6,78.5,80.8,73,64.3,46.1,41.2
NewYork,2022,27.4,34.5,44.9,54.3,70.6,75.6,82.8,81.4,69.8,60.5,50.6,37
NorthCarolina,2021,50.5,51.1,65.2,72.6,80.3,84.2,87.8,88.9,84.4,78.1,62.8,63.2
NorthCarolina,2022,50.9,59.2,66.9,73.9,80.6,86.9,90.4,88,84,70.3,66.9,54.3
NorthDakota,2021,25.7,14.1,48.3,54.8,68.5,84.7,86.6,82.6,76.1,60.3,38.9,21.3
NorthDakota,2022,12.2,13.1,31.3,39.3,65.7,80,82.8,81.5,73.4,60,33.7,16
Oregon,2021,47.7,45.5,60.1,69.6,76.6,89.7,96.2,89.4,82.1,68.7,54.1,44.8
Oregon,2022,38.2,52,60.9,61.3,69.1,78.7,93.7,93.9,82.3,75.7,50.4,39.6
Texas,2021,51,45,61.8,69.3,76.4,90.6,89.2,93,88.1,75.8,66.3,61.3
Texas,2022,52.8,50,62.4,75.3,84.4,90.4,96.6,90.1,89.4,71.5,54.5,54.2
Wisconsin,2021,27.6,21,48.5,57.7,67.1,81.9,81,80.8,73.7,63.8,43.6,33.9
Wisconsin,2022,20.6,26,38.3,49.2,68.3,77.4,80.8,78.2,71.3,59.5,46.6,27.3
California,2021,62.1,65.9,68.9,80.6,87.2,96.4,102.8,99.5,93,77.2,67.3,57.1
California,2022,61.2,67.9,73.5,77.4,84.4,94.7,100.3,100.9,94.7,83.8,65,55.3
Florida,2021,68.9,73.6,75.9,78.4,84.6,87.5,88.1,89.3,86.9,84,72.6,76.6
Florida,2022,67.9,73.4,77.5,79.9,85.9,90.2,90.9,90.4,87.1,80.8,76.7,70.9
