"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","plot_number","block","breeder_merit_score","date_planting","seed_pieces_planted","seed_observations","date_vinekill","date_harvest","date_gathered","plant_stand","final_emergence","roguing_notes","vine_maturity","verticillium_wilt","specific_gravity","undersize_yield","small_yield","mid_yield","oversize_yield","cull_tuber_defects","calc_nfpt_total_yield","calc_nfpt_mkt_yield","calc_nfpt_mkt_undersize_yield","calc_nfpt_mkt_4oz_yield","calc_nfpt_mkt_6oz_yield","calc_nfpt_mkt_10oz_yield","calc_nfpt_mkt_cull_yield","calc_nfpt_mkt_total_yield","tuber_length","tuber_width","tuber_depth","tuber_shape","tuber_flesh_color","tuber_appearance","tuber_defects","field_observations","total_weight","growth_crack","greening","defect_green","powdery_scab","common_scab","scab","shatter_bruise","internal_brown_spot","vascular_discoloration","harvest_comments","total_glycoalkaloids","fry_color","internal_tuber_defects","external_tuber_defects","comments"
"2011","NFPT","ID","2011 NFPT ID","AF4320-17","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.087","23.1","44.4","96.3","187.3","13.9","365","327.9","0.07","0.93","0.81","0.53","0.04","0.9","","","","5","1","7","","; long, large, med. Russ.","364.96","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4320-15","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.086","23.5","19.6","40.5","152.9","58.4","294.8","213","0.1","0.9","0.82","0.65","0.2","0.72","","","","5","1","3","GC's","; Tendency for twists & points;some shatter","294.84","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4320-7Rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.082","12.2","6.1","51.8","186.8","5.7","262.6","244.8","0.05","0.95","0.93","0.73","0.02","0.93","","","","5","1","6","eye bulge, 2nd","; V. large--consequence of roguing","262.6","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4283-1","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.099","52.7","38.3","105.8","161.1","42.7","400.7","305.3","0.15","0.85","0.75","0.45","0.11","0.76","","","","5","1","3","twists, irregs, 2nds","; severe scab some pit;light russ","400.67","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A0012-5","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","7","","1.082","27","20.5","97.1","180.7","8.3","333.6","298.3","0.08","0.92","0.85","0.56","0.02","0.89","","","","4","1","3","twists, irregs, ","; twists & irreg shapes; hvy russ. Hollow Heart","333.59","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4281-3","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.091","48.8","68.4","102.3","44.9","4.4","268.7","215.6","0.18","0.82","0.56","0.17","0.02","0.8","","","","5","1","5","some points","; light russet; some irregs.","268.71","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4260-2","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","3","","1.09","27.9","24.8","65.3","127.2","12.6","257.8","217.3","0.11","0.89","0.79","0.52","0.05","0.84","","","","4","1","4","GC's; irregs","; irreg shapes & non-uniform size","257.82","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4198-2","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.083","15.2","30.9","79.7","162","51","338.8","272.6","0.05","0.95","0.84","0.56","0.15","0.8","","","","5","1","6","no primary  noted","; v. long; light russet","338.82","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4172-2","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","3","","1.096","52.3","74.9","196.4","118.9","9.2","451.6","390.2","0.12","0.88","0.71","0.27","0.02","0.86","","","","5","1","7","no primary  noted","; some surface & pit scab;light russ","451.62","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Hamlin","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.091","9.6","20","154.6","162","0","346.2","336.6","0.03","0.97","0.91","0.47","0","0.97","","","","5","1","6","no primary  noted","; light russ; some points; ","346.22","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4124-4","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.084","24.4","41.8","95.8","177.3","56.6","395.9","314.9","0.07","0.93","0.8","0.52","0.14","0.8","","","","5","1","5","GC's & 2nd","; light russ; deeper-eyed","395.88","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4113-2","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.088","42.2","37.9","126.3","114.1","13.1","333.6","278.3","0.13","0.87","0.75","0.36","0.04","0.83","","","","5","1","6","GC's","; light russ; some pit scab","333.6","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Blazer Russet","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.086","29.6","64","106.3","176.4","3.1","379.3","346.7","0.08","0.92","0.75","0.47","0.01","0.91","","","","4","1","7","some curves","; med. Russ; no major externals","379.32","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A0073-2","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.088","47.5","67.9","86.2","107.6","3.1","312.3","261.7","0.15","0.85","0.63","0.35","0.01","0.84","","","","4","1","5","no primary  noted","; large size, light russet","312.26","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF3008-3","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.101","74","87.5","67.9","0","16.1","245.6","155.5","0.32","0.68","0.3","0","0.07","0.63","","","","3","1","3","no primary  noted","; flaky light russet; points, flattened","245.63","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A03921-2","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.101","34.4","54.9","96.7","166.4","11.8","364.1","317.9","0.1","0.9","0.75","0.47","0.03","0.87","","","","4","1","7","","; buff; nicer type","364.07","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Premier Russet","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.093","24.4","9.6","93.2","196.4","40.1","363.7","299.2","0.08","0.92","0.9","0.61","0.11","0.82","","","","5","1","6","2nd & Gc's","; Large size, med. Russ; some skinning","363.65","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Highland Russet","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.089","11.3","23.1","84.9","306.6","16.6","442.5","414.6","0.03","0.97","0.92","0.72","0.04","0.94","","","","4","1","8","no primary  noted","; large, kept type with size; light russ","442.46","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","GemStar Russet","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.091","40.1","47","103.2","225.6","19.6","435.5","375.8","0.1","0.9","0.79","0.54","0.05","0.86","","","","4","1","5","no primary  noted","; med-hvy russet; some irregs; Hollow Heart","435.5","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AOA95154-1","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.092","13.1","18.7","48.8","354.1","17.4","452.1","421.6","0.03","0.97","0.93","0.81","0.04","0.93","","","","5","1","6","irregs.","; very large tubers; ","452.06","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A81473-2","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.088","30.1","32.2","79.7","261.7","1.3","405","373.7","0.07","0.93","0.85","0.65","0","0.92","","","","4","1","6","no primary  noted","; very large tubers; skinning","405.03","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A82360-7","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.094","74","65.3","122.8","29.6","122.8","414.6","217.8","0.25","0.75","0.52","0.1","0.3","0.53","","","","4","1","4","growth cracks","; growth cracks problematic ","414.6","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Alpine Russet","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.095","23.5","27.9","105.8","339.7","6.5","503.4","473.4","0.05","0.95","0.9","0.68","0.01","0.94","","","","5","1","8","no primary  noted","; Large size, med. Russ","503.44","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A03082-4","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.079","29.6","13.5","84.1","83.6","114.1","324.9","181.2","0.14","0.86","0.8","0.4","0.35","0.56","","","","4","1","3","second; greening; GC's","; deeper-eyed; bulge w/size; skinning; light russet","324.88","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A01025-4","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.078","17","26.1","46.6","277.9","44.9","412.4","350.6","0.05","0.95","0.88","0.76","0.11","0.85","","","","4","1","4","crooks and 2nd","; light russ; some malformed;larger size;low SG","412.42","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Payette Russet","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.089","29.2","42.2","89.3","179.4","25.7","365.8","311","0.09","0.91","0.79","0.53","0.07","0.85","","","","5","1","4","2nd's ","; light russet; skinning","365.82","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A02424-83LB","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.094","23.5","47","160.3","201.6","15.2","447.7","408.9","0.05","0.95","0.84","0.47","0.03","0.91","","","","4","1","6","irregs; crooks","; large, some eye bulge w/size","447.69","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A02138-2","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.098","32.7","71","160.7","185.1","4.4","453.8","416.8","0.07","0.93","0.77","0.41","0.01","0.92","","","","4","1","4","a few irregs","; patchy russ; smaller","453.8","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Pomerelle Russet","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.08","10.9","21.8","114.5","243","6.5","396.8","379.3","0.03","0.97","0.92","0.62","0.02","0.96","","","","5","1","6","some twists","; v. long; med. Russ.","396.75","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A02060-3TE","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.091","33.1","26.1","64.9","271.8","13.1","408.9","362.8","0.08","0.92","0.85","0.69","0.03","0.89","","","","5","1","6","Some malformed","; med. Russ; very large but good type;skinning","408.94","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A01325-1","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.093","24","35.3","136.8","204.3","24.4","424.6","376.3","0.06","0.94","0.85","0.51","0.06","0.89","","","","4","1","7","a few irregs","; buff/light russet","424.62","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A01124-3","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.091","10.5","20.9","101.9","214.7","18.7","366.7","337.5","0.03","0.97","0.91","0.62","0.05","0.92","","","","5","1","5","bud end folding","; hvy russ; skinning; deeper eyed","366.69","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4040-2","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","3","","1.088","26.6","25.3","114.5","89.7","24.4","280.5","229.5","0.1","0.9","0.8","0.35","0.09","0.82","","","","5","1","5","","; flattened light russet/buff","280.47","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Easton","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.084","19.2","35.3","92.3","166.8","26.1","339.7","294.4","0.06","0.94","0.83","0.53","0.08","0.87","","","","5","1","6","mishapen","; V. large; may result from roguing","339.7","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A7411-2 ","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.091","46.2","63.6","144.6","135.9","19.2","409.4","344.1","0.12","0.88","0.72","0.35","0.05","0.84","","","","5","1","6","twisting","; long, some twists","409.37","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND060742C-1Russ","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.091","82.3","104.5","225.6","92.8","4.8","510","422.9","0.16","0.84","0.63","0.18","0.01","0.83","","","","4","1","4","no primary  noted","; flattened; high % with pit scab","509.97","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","MN02419","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.083","72.7","91","103.2","71.4","8.7","347.1","265.7","0.21","0.79","0.52","0.21","0.03","0.77","","","","4","1","5","some greening","; light russet; some points; mouse tails","347.09","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND8413-7Russ","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","3","","1.08","70.1","64.5","76.2","17","10.9","238.7","157.6","0.31","0.69","0.41","0.07","0.05","0.66","","","","5","1","4","twisting","; points, twists; light russet","238.65","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND8229-3","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.087","9.6","22.7","113.7","163.3","6.1","315.3","299.6","0.03","0.97","0.9","0.53","0.02","0.95","","","","4","1","7","no primary  noted","; flaky russet; blocky","315.31","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND8068-5Russ","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","1","","1.081","44.4","74.9","64.5","22.7","1.7","208.2","162","0.22","0.78","0.42","0.11","0.01","0.78","","","","4","1","5","no primary  noted","; scab; light russet","208.17","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND7882b-7Russ","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","2","","1.087","20.9","30.9","74.9","95.4","29.6","251.7","201.2","0.09","0.91","0.77","0.43","0.12","0.8","","","","4","1","5","2nd's","; some points and twists","251.71","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND060735-4Russ","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.092","33.5","81.9","165.1","101.9","15.2","397.6","348.8","0.09","0.91","0.7","0.27","0.04","0.88","","","","5","1","7","Some malformed","; Flaky, light russ;","397.6","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND060796AB-1Russ","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.085","160.3","111.5","52.7","4.8","0.4","329.7","169","0.49","0.51","0.17","0.01","0","0.51","","","","2","1","3","no primary  noted","; small, round, heavy russet","329.68","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND059694B-20Russ","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.097","41.8","68.4","76.7","43.6","5.2","235.6","188.6","0.18","0.82","0.52","0.19","0.02","0.8","","","","3","1","3","no primary  noted","; small,  some points; light russ","235.61","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","MN15620","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.086","23.5","46.2","76.2","115.8","5.7","267.4","238.2","0.09","0.91","0.73","0.44","0.02","0.89","","","","4","2","6","no primary  noted","; russet type with red skin","267.39","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND049546b-10Russ","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.082","22.7","42.2","139.4","89.7","22.2","316.2","271.3","0.08","0.92","0.78","0.31","0.07","0.86","","","","5","1","3","points, 2nd, twists","; points on stem end; med. Russ","316.17","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND049517B-1Russ","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.091","13.9","32.2","96.7","181.2","3.1","327.1","310.1","0.04","0.96","0.86","0.56","0.01","0.95","","","","4","1","5","no primary  noted","; large, light russ; deeper-eyed;pit scab","327.07","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","ND049289-1Russ","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.096","28.3","35.3","141.5","321","22.2","548.3","497.8","0.05","0.95","0.88","0.61","0.04","0.91","","","","4","1","6","some greening","; blocky, light russ; pink eyed","548.3","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AOND95249-1Russ","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.094","41.8","67.1","136.3","166.8","2.6","414.6","370.2","0.1","0.9","0.74","0.4","0.01","0.89","","","","5","1","7","no primary  noted","; some eye bulge in larger; med. russ","414.6","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AOND95292-3Rus","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.089","17.4","31.4","112.4","62.3","3.9","227.3","206","0.08","0.92","0.78","0.28","0.02","0.91","","","","5","1","6","no primary  noted","; light russ; ","227.34","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AND99362-1Russ","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.093","51","66.2","206.4","114.1","17","454.7","386.7","0.12","0.88","0.73","0.26","0.04","0.85","","","","5","1","5","greening; malformed","; attached stolons skinning;light russ","454.66","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AND97279-5Russ","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.102","60.5","111.1","163.3","92.8","16.1","443.8","367.1","0.14","0.86","0.6","0.22","0.04","0.83","","","","5","1","5","GC's & 2nd","; deep eyes with size; light russ; v. high SG","443.76","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","MN02467","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.096","57.1","64","199","81.4","0","401.5","344.5","0.14","0.86","0.7","0.2","0","0.86","","","","5","1","5","no primary  noted","; points; med. Russet; ","401.53","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","MN18747","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.074","22.7","34.4","95.8","125","3.9","281.8","255.2","0.08","0.92","0.79","0.45","0.01","0.91","","","","4","1","3","no primary  noted","; white/buff; irregs; deeper eyed;some pit scab;low SG","281.77","","","","","","","","","","","","","","",""
