Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
MI,2018,2.12,4.93,1.16,2.85,5.64,2.5,2.3,6.61,5.93,5.69,2.73,1.99
MI,2019,2.9,3.43,2.23,4.05,5.96,4.36,3.92,3.41,7.32,7.13,2.62,4.04
MI,2020,3.65,1.2,3.27,4.09,4.22,2.84,4.75,2.6,3.07,2.67,2.27,2.81
MI,2021,1.37,1.84,1.51,1.91,1.92,8.49,4.44,2.33,3.34,6.44,2.22,2.23
MO,2010,2.02,1.38,5.88,5.96,4.12,1.66,4.25,1,5.42,0.51,5.31,1.89
MO,2011,0.3,5.41,4.56,20.51,6.77,5.32,1.93,1.82,10.12,2.13,9.75,5.77
MO,2012,2.97,1.88,3.1,1.35,0.79,1.37,2.24,0.52,6.21,2.58,1.32,1.71
MO,2013,3.58,3.04,2.55,3.65,3.35,7.76,0.77,3.95,0.44,4.2,1.65,5.56
MO,2014,2,1.14,2.31,8.01,4.93,7.5,2.92,3.49,2.05,4.31,2.26,2.81
MO,2015,4.77,2.19,8.79,4.17,5.96,4.32,9.63,4.16,1.65,1.22,9.16,3.97
MO,2016,1.66,3.12,5.46,4.7,8.34,1.28,5.88,6.26,5.05,0.64,3.76,3.41
MO,2017,1.96,1.06,2.81,11.6,5.11,2.95,1.37,2.21,0.73,2.57,2.45,2.79
MO,2018,2.24,9.42,5.99,4.63,4.8,8.14,1.92,2.65,5.59,3.7,3.48,5
MO,2019,4.65,7.31,4.11,5.87,9.15,5.3,7.78,1.96,2.66,7.84,6.48,2.25
MO,2020,6.52,4.97,6.71,2.48,7.09,3.05,2.13,7.66,1.5,6.67,2.05,2.44
MO,2021,2.95,3.17,5.8,4.77,3.8,4.1,5.89,4.22,1.33,3.68,2.73,5.83
NC,2010,5.8,3.66,5.68,2.2,4.42,1.9,2.56,4.8,14.17,7.86,1.16,2.73
NC,2011,2.34,2.9,5.05,3.33,2.16,2.29,4.05,16.37,8.05,1.64,3.19,1.17
NC,2012,2.17,3.72,4.06,3.06,7.65,1.61,7.87,3.47,4.97,4.44,0.79,4.6
NC,2013,2.41,4.08,1.52,3.48,1.85,13.47,7.28,7.46,2.58,4.43,2.63,5.27
NC,2014,2.74,2.37,5.8,5.97,2.56,7.57,7.08,5.99,7.35,1.38,3.75,5.04
NC,2015,5.44,4.08,4.33,3.84,2.98,4.64,3.96,2,5.76,7.26,6.46,4.39
NC,2016,3.19,8.2,2.52,5.48,5.3,4.42,5.59,4.36,16.3,11.4,1.71,3.17
NC,2017,3.44,1.24,3.94,8.14,6.48,4.04,6.44,5.1,4.48,3.17,1.42,3.22
NC,2018,4.41,2.88,4.64,5.3,6.93,4.85,8,3.16,10.65,2.65,4.5,5.65
NC,2019,3.2,4.17,2.89,6.26,0.98,5,7.32,11.71,7.1,2.51,3.27,2.45
NC,2020,3.34,5.99,3.14,4.05,5.01,5.96,6.61,7.9,5.4,1.93,9.39,3.76
NC,2021,5.95,10.35,1.9,2.23,2.08,13.28,5,4.2,2.1,1.22,1.42,2.82
ND,2010,0.69,0.44,1.45,1.3,4.56,4.03,2.16,4.12,5.28,2.44,0.58,0.72
ND,2011,0.85,0.04,0.76,2.4,2.45,3.34,2.69,3.23,2.89,0.3,0.12,0.65
ND,2012,0.38,0.51,1.79,1.45,1.75,2.38,3.35,2.01,0.2,2.14,0.85,0.31
ND,2013,0.42,0.37,0.98,1.61,4.79,3.1,2.08,0.88,1.97,2.48,0.15,0.82
ND,2014,0.69,0.41,0.93,2.62,2.56,6.6,3.7,3.2,1.29,0.37,0.31,0.22
ND,2015,0.42,0.4,0.31,0.73,4.45,2.51,5.1,2.89,0.84,1.2,1.4,1.06
ND,2016,0.32,0.26,0.55,1.56,3.7,3.3,5.3,3.53,4.16,1.1,1.33,1.61
ND,2017,0.45,0.4,0.85,1.34,1.11,4.57,1.17,1.16,4.45,0.12,0.86,0.77
ND,2018,0.5,0.43,1.85,0.35,1.55,4.41,3.76,1.81,2.22,3.04,0.58,0.63
ND,2019,0.58,0.99,1.21,1.71,1.72,1.67,3.5,2.66,8.14,3.48,0.95,1.5
ND,2020,0.78,0.12,0.26,0.94,1.05,5.9,6.7,2.41,0.3,0.37,0.12,0.4
ND,2021,0.3,0.16,0.23,0.89,2.29,2.45,0.42,5.06,1.37,3.48,1.12,1.36
NY,2010,2.65,3.02,2.79,2.28,2.39,3.64,3.22,4.23,2.28,7.02,2.09,2.98
NY,2011,1.31,3.7,3.63,7.41,6.17,2.59,1.99,4.63,10.46,4.21,2.24,2.88
NY,2012,2.29,0.58,1.72,3.2,2.91,1.84,1.59,3.58,3.81,4.18,1.16,5.97
NY,2013,1.67,2.26,1.14,3.01,2.32,4.12,6.95,5.23,3.77,2.65,3.63,2.26
NY,2014,1.63,1.97,3.04,2.44,4.44,5.14,3.85,6.05,2.21,3,2.36,2.36
NY,2015,0.97,1.94,1.33,3.6,2.69,6.59,4.93,1.4,3.99,2.19,1.37,2.79
NY,2016,1.65,3.79,1.36,2.61,1.9,1.07,1.87,4.23,2.05,6.89,1.84,2.55
NY,2017,2.64,2.22,3.26,4.59,4.47,3.69,6.65,2.37,2.22,7.06,2.05,1.32
NY,2018,2.38,2.03,3.24,2.11,3.86,2.09,3.95,4.97,5.36,5.35,4.13,2.19
NY,2019,3.22,1.28,1.44,3.75,4.85,5.47,3.72,4.81,1.78,5.35,2.53,3.28
NY,2020,2.76,2.69,2.15,3.13,4,2.04,4.68,3.74,1.82,3.7,2.31,3.79
NY,2021,1.84,2.43,1.19,3.88,4.05,4.42,6.32,6.24,5.23,7.35,2.69,2.26
TX,2010,2.28,1.44,1.22,0.34,1.67,2.92,2.39,2.43,0.25,0.65,T,0.25
TX,2011,0.21,0.26,0.01,0.1,0.03,0.21,0.29,1.65,0.73,1.52,0.1,0.93
TX,2012,0.02,0.05,0.35,1.17,0.21,1.9,0.12,2.15,0.36,0.02,0,0.31
TX,2013,0.17,0.63,0.06,0.03,0.44,0.63,1.53,1.56,1.64,0.12,0.85,0.21
TX,2014,0.01,0.08,0.09,0.11,1.55,3.77,2.15,0.88,1.55,1.01,0.15,0.33
TX,2015,1.72,1.59,0.08,1.3,2.02,0.85,4.15,1.72,1.07,5.3,1.02,0.41
TX,2016,0.11,0.14,0.16,4.18,2.36,2.01,2.07,2.89,3.42,0.1,1.17,0.2
TX,2017,1.03,0.05,1.42,5.25,1.39,1.26,3.01,3.83,3.01,4.03,0.13,T
TX,2018,0.01,0,0,0.73,1.07,3.12,0.62,1.23,0.26,4.31,0.14,1.12
TX,2019,0.08,1.32,0.7,0.36,2.62,4.23,0.62,1.13,2.04,1.08,0.62,0.69
TX,2020,0.65,0.18,0.58,0.17,0.93,1.05,3.63,0.39,1.19,0.78,0.54,0.27
TX,2021,0.14,0.06,1.3,0.02,2.19,2.19,3.91,0.55,1.02,0.27,0,T
WI,2010,0.8,0.44,0.64,2.65,3.61,7.2,10.6,5.38,4.41,1.26,M,M
WI,2011,0.86,0.61,0.85,3.82,3.3,5.88,3.02,4.84,3.72,1.9,1.15,1.14
WI,2012,0.65,0.27,2.83,3.36,6.04,1.85,0.59,2.93,1.05,5.53,1.43,1.91
WI,2013,1.23,1.13,1.69,3.9,4.96,5.31,1.9,1.93,2.05,2.36,3.07,M
WI,2014,1.74,3.02,4.46,2.47,2.1,3.39,1.74,6.5,2.62,2.92,1.56,0.99
WI,2015,0.33,0.24,0.39,3.66,5.6,4.27,1.81,3.14,4.78,3.2,2.59,4.94
WI,2016,0.95,0.66,5.89,1.5,2.51,3.63,3.9,5.52,11.79,2.18,2.06,2.12
WI,2017,1.84,1.07,2.53,4.76,3.84,7.97,4.08,4.26,2.49,4.38,0.63,0.67
WI,2018,0.93,1.17,0.91,3.44,6.32,5.48,3.97,7.11,5.74,4.33,2.22,1.5
WI,2019,1.89,2.16,1.84,3.98,5.26,4.99,7.18,2.88,5.21,4.36,2.22,2.85
WI,2020,0.88,0.77,3.57,2.17,3.86,6.24,2.53,2.79,1.97,2.52,1.98,0.35
WI,2021,0.61,1.05,1.13,1.39,2.55,4.74,4.83,9.25,0.69,1.28,0.84,1.48
OR,2010,1.04,0.46,0.42,0.99,1.46,0.84,0.19,0.01,1.01,1.22,0.8,2.5
OR,2011,0.68,0.59,1.57,0.22,1.16,0.37,0.03,0.01,0.03,0.55,0.4,0.07
OR,2012,0.62,0.57,1.09,1.25,0.4,1.65,0.46,0.02,0.05,1.53,1.44,1.35
OR,2013,0.53,0.06,0.81,1.13,1.04,0.82,0,0.15,2.09,0.09,0.28,0.36
OR,2014,0.62,0.99,0.66,0.62,0.31,0.31,0.02,1.15,0,0.84,0.43,1.17
OR,2015,0.58,0.72,0.61,0.3,1.24,0,0.01,0.05,0.2,0.29,0.76,1.85
OR,2016,1.11,0.49,1.05,0.21,0.87,0.44,0.35,0.04,0.29,2.14,0.5,0.57
OR,2017,0.98,2.03,1.5,1.05,0.56,0.33,0,0.05,0.46,1.04,1.16,1.13
OR,2018,1.24,0.5,0.53,1.41,0.75,0.21,0,0.13,0,0.93,0.69,1.31
OR,2019,1.7,1.36,0.53,1.34,1.08,0.17,0.15,0.18,0.68,0.3,0.19,0.64
OR,2020,0.99,0.62,0.57,0.15,0.88,0.45,0,0.01,0.05,0.4,1.12,0.71
OR,2021,0.51,0.59,0.15,0.04,0.2,0.17,0.06,0,0.57,0.48,1.2,1.4
CO,2022,0.29,0.82,0.71,0.32,0.12,1.1,2.36,1.99,0.68,1.68,0.41,0.02
ID,2022,1.91,0.48,0.71,1.27,1.74,1.72,0.28,1.6,1.05,0.91,3.25,2.74
ME,2022,2.4,3.58,4,3.47,3.46,4.65,4.08,3.75,1.86,4.46,4.96,4.53
MI,2022,1.43,4.2,3.5,5.19,4.07,1.42,2.82,4.98,1.3,3.74,2.33,2.75
NY,2022,1.28,2.72,2.75,3.06,1.97,3.52,1.64,4.72,6.01,0.76,3.75,3.19
ND,2022,0.62,0.88,0.3,5.47,5.09,2.16,4.59,1.42,0.53,0.17,0.52,1.57
OR,2022,0.62,0.26,0.93,1.41,1.43,1.61,0.01,0.03,0.11,1.01,1.27,2.63
TX,2022,0.04,0.03,0.08,0.46,2.22,0.68,4.35,0.81,0.45,1.22,0.08,0.03
WI,2022,0.38,0.22,3.4,2.13,3.76,4.18,4.04,5.56,3.75,0.94,2.85,1.75
CA,2022,0.01,0.11,1.34,0.39,0,0.01,0,0,0,0,0.66,1.69
FL,2022,0.9,1.65,8.47,4.34,3.05,4.92,10.8,6.19,10.35,1.94,4.82,0.68
NC,2022,5.19,1.92,2.19,1.98,4.23,2.58,6.6,5.22,1.87,5.53,3.96,2.06
