variety,location,year,trial,yield.standard
AF4552-5,CA,2014,CA_2014,43.18
AF4552-5,CA,2014,CA_2014,45.06
AF4552-5,FL,2014,FL_2014,51.61
AF4552-5,FL,2014,FL_2014,41.94
AF4552-5,MI,2014,MI_2014,42.5
AF4552-5,MI,2014,MI_2014,33.4
AF4552-5,MO,2014,MO_2014,63.76
AF4552-5,MO,2014,MO_2014,42.5
AF4552-5,NC,2014,NC_2014,27.16
AF4552-5,NC,2014,NC_2014,24.15
AF4552-5,NY,2014,NY_2014,41.96
AF4552-5,NY,2014,NY_2014,48.96
AF4552-5,OR,2014,OR_2014,128.79
AF4552-5,OR,2014,OR_2014,114.73
AF4552-5,TX,2014,TX_2014,75.9
AF4552-5,TX,2014,TX_2014,90.36
AF4552-5,WI,2014,WI_2014,90.8
AF4552-5,WI,2014,WI_2014,69.3
AF4573-2,CA,2011,CA_2011,66.17
AF4573-2,FL,2011,FL_2011,38.71
AF4573-2,MI,2011,MI_2011,39.47
AF4573-2,MO,2011,MO_2011,NA
AF4573-2,NC,2011,NC_2011,23.61
AF4573-2,ND,2011,ND_2011,NA
AF4573-2,NY,2011,NY_2011,45.46
AF4573-2,WI,2011,WI_2011,54.96
AF4573-2,CA,2012,CA_2012,41.36
AF4573-2,FL,2012,FL_2012,22.58
AF4573-2,MI,2012,MI_2012,48.58
AF4573-2,MO,2012,MO_2012,85.01
AF4573-2,NC,2012,NC_2012,64.09
AF4573-2,ND,2012,ND_2012,NA
AF4573-2,NY,2012,NY_2012,38.46
AF4573-2,OR,2012,OR_2012,92.68
AF4573-2,TX,2012,TX_2012,51.2
AF4573-2,WI,2012,WI_2012,54.96
AF4573-2,CA,2013,CA_2013,62.03
AF4573-2,CA,2013,CA_2013,74.44
AF4573-2,FL,2013,FL_2013,25.81
AF4573-2,FL,2013,FL_2013,22.58
AF4573-2,MI,2013,MI_2013,51.61
AF4573-2,MI,2013,MI_2013,57.69
AF4573-2,MO,2013,MO_2013,45.54
AF4573-2,MO,2013,MO_2013,51.61
AF4573-2,NC,2013,NC_2013,26.99
AF4573-2,NC,2013,NC_2013,30.36
AF4573-2,NY,2013,NY_2013,66.44
AF4573-2,NY,2013,NY_2013,62.94
AF4573-2,OR,2013,OR_2013,79.9
AF4573-2,OR,2013,OR_2013,95.88
AF4573-2,TX,2013,TX_2013,36.87
AF4573-2,TX,2013,TX_2013,30.72
AF4573-2,WI,2013,WI_2013,64.52
AF4573-2,WI,2013,WI_2013,47.79
AF4640-1,CA,2011,CA_2011,78.58
AF4640-1,FL,2011,FL_2011,32.26
AF4640-1,MI,2011,MI_2011,39.47
AF4640-1,MO,2011,MO_2011,NA
AF4640-1,NC,2011,NC_2011,40.48
AF4640-1,ND,2011,ND_2011,NA
AF4640-1,NY,2011,NY_2011,48.96
AF4640-1,WI,2011,WI_2011,69.3
AF4640-1,CA,2012,CA_2012,45.49
AF4640-1,FL,2012,FL_2012,16.13
AF4640-1,MI,2012,MI_2012,42.5
AF4640-1,MO,2012,MO_2012,63.76
AF4640-1,NC,2012,NC_2012,64.09
AF4640-1,ND,2012,ND_2012,NA
AF4640-1,NY,2012,NY_2012,41.96
AF4640-1,OR,2012,OR_2012,86.29
AF4640-1,TX,2012,TX_2012,45.06
AF4640-1,WI,2012,WI_2012,71.68
AF4648-2,CA,2011,CA_2011,66.17
AF4648-2,FL,2011,FL_2011,29.03
AF4648-2,MI,2011,MI_2011,33.4
AF4648-2,MO,2011,MO_2011,NA
AF4648-2,NC,2011,NC_2011,23.61
AF4648-2,ND,2011,ND_2011,NA
AF4648-2,NY,2011,NY_2011,41.96
AF4648-2,WI,2011,WI_2011,43.01
AF4648-2,CA,2012,CA_2012,33.09
AF4648-2,CA,2012,CA_2012,33.09
AF4648-2,FL,2012,FL_2012,19.35
AF4648-2,FL,2012,FL_2012,12.9
AF4648-2,MI,2012,MI_2012,39.47
AF4648-2,MI,2012,MI_2012,30.36
AF4648-2,MO,2012,MO_2012,39.47
AF4648-2,MO,2012,MO_2012,NA
AF4648-2,NC,2012,NC_2012,33.73
AF4648-2,NC,2012,NC_2012,30.36
AF4648-2,ND,2012,ND_2012,NA
AF4648-2,ND,2012,ND_2012,NA
AF4648-2,NY,2012,NY_2012,41.96
AF4648-2,NY,2012,NY_2012,31.47
AF4648-2,OR,2012,OR_2012,57.53
AF4648-2,OR,2012,OR_2012,54.33
AF4648-2,TX,2012,TX_2012,43.01
AF4648-2,TX,2012,TX_2012,43.01
AF4648-2,WI,2012,WI_2012,66.91
AF4648-2,WI,2012,WI_2012,57.35
AF4648-2,CA,2013,CA_2013,49.63
AF4648-2,CA,2013,CA_2013,57.9
AF4648-2,FL,2013,FL_2013,22.58
AF4648-2,FL,2013,FL_2013,16.13
AF4648-2,MI,2013,MI_2013,36.43
AF4648-2,MI,2013,MI_2013,33.4
AF4648-2,MO,2013,MO_2013,48.58
AF4648-2,MO,2013,MO_2013,45.54
AF4648-2,NC,2013,NC_2013,33.73
AF4648-2,NC,2013,NC_2013,26.99
AF4648-2,NY,2013,NY_2013,59.45
AF4648-2,NY,2013,NY_2013,55.95
AF4648-2,OR,2013,OR_2013,63.92
AF4648-2,OR,2013,OR_2013,60.72
AF4648-2,TX,2013,TX_2013,38.91
AF4648-2,TX,2013,TX_2013,47.11
AF4648-2,WI,2013,WI_2013,59.74
AF4648-2,WI,2013,WI_2013,47.79
AF4648-2,CA,2014,CA_2014,33.8
AF4648-2,CA,2014,CA_2014,31.92
AF4648-2,FL,2014,FL_2014,45.16
AF4648-2,FL,2014,FL_2014,51.61
AF4648-2,MI,2014,MI_2014,30.36
AF4648-2,MI,2014,MI_2014,39.47
AF4648-2,MO,2014,MO_2014,51.61
AF4648-2,MO,2014,MO_2014,39.47
AF4648-2,NC,2014,NC_2014,21.13
AF4648-2,NC,2014,NC_2014,24.15
AF4648-2,NY,2014,NY_2014,48.96
AF4648-2,NY,2014,NY_2014,48.96
AF4648-2,OR,2014,OR_2014,94.6
AF4648-2,OR,2014,OR_2014,94.6
AF4648-2,TX,2014,TX_2014,50.6
AF4648-2,TX,2014,TX_2014,50.6
AF4648-2,WI,2014,WI_2014,64.52
AF4648-2,WI,2014,WI_2014,62.13
AF4648-2,CA,2015,CA_2015,47.13
AF4648-2,CA,2015,CA_2015,62.71
AF4648-2,FL,2015,FL_2015,35.48
AF4648-2,FL,2015,FL_2015,44.19
AF4648-2,MI,2015,MI_2015,40.38
AF4648-2,MI,2015,MI_2015,32.18
AF4648-2,NC,2015,NC_2015,29.25
AF4648-2,NC,2015,NC_2015,20.95
AF4648-2,NY,2015,NY_2015,41.96
AF4648-2,NY,2015,NY_2015,36.72
AF4648-2,OR,2015,OR_2015,94.6
