Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
WI,2020,22.5,18.9,34.8,41.2,54.6,67.1,73.1,69.8,58.9,42.8,40,25.3,45.8
WI,2021,20.2,10.2,38.1,46.3,55.8,70.2,69.8,69.6,61,54.3,34,25.8,46.3
WI,Mean,17.2,18.7,32.9,42.7,57,66.7,71.2,68.7,61.4,48.1,34.4,24.2,45.6
CA,2011,47,49.8,56,61.3,66.3,76.1,83.7,83,80.3,67.1,53.3,45.6,64.1
CA,2012,51.8,54.6,57.7,63.4,71.7,77.4,83,87,81,68.2,58.3,50.2,67
CA,2013,46.7,51.3,60.5,66.7,72.7,80.4,87.6,82.7,76.9,65.8,58.2,47.7,66.4
CA,2014,54.2,56.9,62.2,66.7,73.8,81.5,87.3,85,80.9,71.3,59.4,53.7,69.4
CA,2015,50.3,58.9,64.3,65.5,69.9,83.3,84.5,84,80.4,72.6,53.5,47.8,67.9
CA,2016,51.8,56.3,60.5,66.9,72.8,82.6,86.2,85.3,78.5,68,59,49.9,68.1
CA,2017,50.1,55.9,59.9,64.8,72.8,82.8,89.1,87.9,79.3,68.2,60.1,50,68.4
CA,2018,53.7,54,58.8,66.7,72.3,80.5,89.5,84.6,79,69,58.6,51,68.1
CA,2019,53.4,49.8,57.4,67.8,68,81.9,85.1,85.3,77.6,65.5,58.3,52.5,66.9
CA,2020,48.5,55.2,57.5,64.6,73.2,79.1,85.5,87.2,80.6,72.1,55.4,49.9,67.4
CA,2021,51.3,54.1,57.2,66.7,74,83.4,90,85.9,80.2,65.6,57.3,49,67.9
CA,Mean,50.8,54.3,59.3,65.5,71.6,80.8,86.5,85.3,79.5,68.5,57.4,49.8,67.4
