Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
MI,2020,0,0,0,8,NA,445,NA,593,244,19,31,0,NA
MI,2021,0,0,NA,NA,179,532,592,652,309,202,NA,0,NA
MI,Mean,0,0,18,26,235,452,620,542,331,89,8,0,2149
ND,2011,0,0,0,9,155,453,700,618,305,158,0,0,2398
ND,2012,0,0,44,37,246,499,778,554,255,22,0,0,2435
ND,2013,0,0,0,7,215,486,602,572,358,37,0,0,2277
ND,2014,0,0,0,3,225,471,547,570,297,54,0,0,2167
ND,2015,0,0,8,44,178,457,646,546,382,62,0,0,2323
ND,2016,0,0,0,21,293,474,620,586,311,68,22,0,2395
ND,2017,0,0,0,28,209,503,670,516,313,73,0,0,2312
ND,2018,0,0,0,14,347,551,628,555,228,5,0,0,2328
ND,2019,0,0,0,16,122,475,637,519,291,14,0,0,2074
ND,2020,0,0,0,10,175,563,712,575,233,38,6,0,2312
ND,2021,0,0,2,7,195,585,721,617,394,136,0,0,2657
ND,Mean,0,0,5,18,215,502,660,566,306,61,3,0,2334
NY,2011,0,0,0,72,302,490,685,553,399,99,33,0,2633
NY,2012,0,0,110,60,377,467,697,592,322,119,11,5,2760
NY,2013,0,0,0,46,283,437,667,494,255,152,15,1,2350
NY,2014,0,0,0,45,228,461,560,453,312,140,16,0,2215
NY,2015,0,0,0,18,388,418,541,535,462,80,44,11,2497
NY,2016,0,1,20,35,209,428,651,683,396,141,12,0,2576
NY,2017,0,12,0,115,192,438,586,487,345,207,12,0,2394
NY,2018,0,8,0,8,339,404,643,643,430,125,8,0,2608
NY,2019,0,2,0,53,192,403,661,504,299,86,4,0,2204
NY,2020,7,0,3,6,241,459,713,611,305,89,53,0,2487
NY,2021,0,0,19,66,209,527,573,650,377,219,0,0,2640
NY,Mean,1,2,14,48,269,448,634,564,355,132,19,2,2488
WI,2011,0,0,0,13,223,444,764,617,NA,162,1,0,NA
WI,2012,0,0,168,32,378,566,853,609,303,65,4,0,2978
WI,2013,0,0,0,28,276,441,647,586,376,88,0,0,2442
WI,2014,0,NA,NA,20,225,575,495,583,317,34,0,0,NA
WI,2015,0,0,0,60,311,437,601,559,484,77,34,0,NA
WI,2016,0,0,12,76,248,NA,651,642,418,139,17,0,NA
WI,2017,0,0,0,60,179,503,607,490,411,105,0,0,2355
WI,2018,0,0,0,3,440,533,667,623,395,46,0,0,2707
WI,2019,0,0,0,43,151,452,684,508,370,70,0,0,2278
WI,2020,0,0,0,5,218,524,723,622,283,45,61,0,2481
WI,2021,0,0,11,73,243,615,620,614,337,218,3,0,2734
WI,Mean,0,0,19,38,263,509,665,587,369,95,11,0,2568
CA,2011,5,44,195,346,512,791,1054,1029,915,537,124,2,5554
CA,2012,90,142,255,406,681,831,1030,1152,935,574,258,86,6440
CA,2013,33,75,336,509,708,920,1174,1021,814,500,250,39,6379
CA,2014,145,213,385,510,748,953,1165,1091,935,668,290,168,7271
CA,2015,72,256,452,472,625,1003,1075,1064,917,707,138,38,6819
CA,2016,84,205,331,518,714,984,1130,1102,862,566,279,79,6854
CA,2017,71,192,321,451,712,991,1223,1184,884,572,312,36,6949
CA,2018,141,156,283,507,699,923,1235,1081,878,597,264,76,6840
CA,2019,137,80,237,540,563,964,1095,1101,835,486,271,106,6415
CA,2020,29,182,237,446,725,879,1107,1161,923,693,178,46,6606
CA,2021,80,124,232,506,753,1008,1247,1121,914,491,227,47,6750
CA,Mean,81,152,297,474,676,932,1140,1101,892,581,236,66,6625
