Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
WI,2017,-9,-4,0,25,28,40,50,42,33,23,6,-11,-11
WI,2018,-15,-10,2,8,37,45,51,49,30,24,8,2,-15
WI,2019,-23,-12,-14,22,31,42,50,44,44,21,3,-4,-23
WI,2020,-7,-17,1,15,24,42,54,46,38,21,19,-2,-17
WI,2021,-7,-21,12,20,27,43,52,49,36,26,8,1,-21
WI,Mean,-14,-13,-2,19,28,42,50,46,36,24,9,-4,-17
CA,2011,34,31,34,36,47,47,60,61,57,43,35,28,28
CA,2012,29,36,32,38,49,51,59,63,58,46,35,28,28
CA,2013,25,32,39,39,48,56,64,62,53,45,41,26,25
CA,2014,35,35,42,43,51,61,66,66,59,49,41,33,33
CA,2015,28,41,42,43,51,58,64,64,57,50,32,28,28
CA,2016,27,33,40,46,50,53,64,64,55,50,37,30,27
CA,2017,34,33,34,40,45,52,70,65,52,47,39,30,30
CA,2018,34,31,37,42,53,54,67,62,58,49,38,31,31
CA,2019,31,32,37,45,49,58,64,65,48,42,37,35,31
CA,2020,33,29,39,42,53,50,64,64,60,47,34,29,29
CA,2021,34,38,40,47,50,52,72,63,57,45,36,34,34
CA,Mean,31,34,38,42,50,54,65,64,56,47,37,30,29
